dbor_1,00:00.5,01:10.1,首先我们要想谈一下数据库原理是一个什么样的课，为什么要学习数据库？,1,0,0
dbor_1,01:15.1,01:21.9,我们这一代同学啊大家都说大家是数数据时代的怎么样？啊原居民是吧？,1,1,0
dbor_1,01:22.4,01:29.2,我们是我们从出生开始很小的时候，桌面还不会走路，都会玩玩iPad，会玩智能手机，然后我们的生活无时无时无刻的不和信息化绑在一起，不和信息系统绑在一起。,0,1,0
dbor_1,01:29.2,01:43.8,我们从小学初中我们都在学数据、嗯数学、计算机相关的课程，那么大家知不知道我们的哪样一些我你用你用的软件，它的哪一部分和数据库会绑在一起，呢是在数据库的支撑下呢。或者是。,1,0,0
dbor_1,01:44.5,02:05.3,好，我们第一个方面已经开始发言了，后台数据好，你你听说过你某些数据库没有有没有你你知道的。,1,1,0
dbor_1,02:05.8,02:17.0,哈豆腐哈豆腐？,0,1,0
dbor_1,02:17.1,02:19.1,嗯你说了一个很好的东西，但是是目前我们可以把它交也可以不交，啊我们再找还有个同学很好，回答得很好。,0,1,0
dbor_1,02:20.1,02:27.7,嗯还有谁来我们但呃我刚才最记住的很容易记住的名字，他们说叫你什么？蛋蛋，还有什么？是谁？,0,1,0
dbor_1,02:28.2,02:38.1,呀你是你刚才跟我说的呀你的饭很好记，是吧你对的。,0,1,0
dbor_1,02:38.1,02:43.9,嗯噢游戏都有一个数据库。,0,1,0
dbor_1,02:44.5,02:48.1,游戏都有一个数据库，记录一些什么东西。,0,0,1
dbor_1,02:48.4,02:51.0,记录框架的决策信息以及对，主要就是玩家休息很好很好。,0,1,0
dbor_1,02:51.0,02:58.0,对都答得很好，坐下来，还有嗯你们好。,0,1,1
dbor_1,02:58.0,03:04.6,我觉得那个嗯一般一个网站或者一个应用的嗯，它的用户的用户名密码和相关的一些安全验证，比如验证手机啊验证的邮箱啊这个应该也是用数据库存，我密码应该是用密文存储的。,0,1,0
dbor_1,03:05.1,03:28.7,好，这样其实何老师已经面临挑战了，啊今天回答的几个同学讲的东西都讲得很好，其实我就有压力了知道吧？,0,1,0
dbor_1,03:29.0,03:38.0,因为以前好多届在前面一些届的学生可能问的这些问题，学生不知道何老才可以怎么样啊继续去讲是吧？,0,1,0
dbor_1,03:38.3,03:46.7,但是我们现在的学生已经知道了很多了，嗯那我就说一个概括性的话，数据库是现。,0,1,0
dbor_1,03:46.8,03:55.9,刚才大家去看了三级模式，二级映射数据库系统的体系结构是吧？,0,0,1
dbor_10,00:00.1,00:08.9,我们上一章讲过的，那么落实到具体的水库标准来，呢这个体系结构呢稍微有一点点区别，它能让我们说有模式外模式内模式对不对？,0,1,0
